Rail,Span’ ,Cantilever’ ,Rail Length,Span” ,Cantilever” ,Rail Length
XR10 ,4,1.6,15.2,48,19.2,182.4
XR100 ,6,2.4,22.8,72,28.8,273.6
XR1000 ,8,3.2,30.4,96,38.4,364.8
,,,,,,
Certified to: ,"60’ Roof,            170 mph winds     Category B,C,D. 	 90 psf snow  	40” Tilt Legs",,,,,
,,,,,,
Modifier: ,100%,,,,,
# of Attachments,4,,,,,
,,,,,,
XR10*,4,1.6,15.2,48,19.2,182.4
XR100*,6,2.4,22.8,72,28.8,273.6
XR1000*,8,3.2,30.4,96,38.4,364.8
