Solar Equipment ,Min,Extra Factor,Total
Panels,8,1,8
Rail 168”,6,1,6
Splice Bars ,0,1,0
UFOs,22,1.15,25
Stopper Sleeves,12,1.2,14
Ground Lugs,3,1.3,4
Attachments,16,1.2,19
