Solar Equipment ,Min,Extra Factor,Total
Panels,30,1,30
Rail 168”,22,1,22
Splice Bars ,16,1,16
UFOs,72,1.15,83
Stopper Sleeves,24,1.2,29
Ground Lugs,6,1.3,8
Attachments,70,1.2,84
